OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_19	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_1			Mock_Bacillus_subtilis_16S_10	100.000	100	Bacteria_Firmicutes	100.000	100
OTU_104	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Tardiphaga_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_127	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1					0	0	Bacteria_Actinobacteriota	100.000	100
OTU_1156	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Gaiellales_1	Gaiellaceae_1	Gaiella_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_3232	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	A21b_1					0	0	Bacteria_Proteobacteria	100.000	100
OTU_457	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Frankiales_1	Frankiaceae_1	Frankia_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_3804	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Shinella_1			Agrobacterium_sp.|GLBRC1119	97.273	88	Bacteria_Proteobacteria	98.800	100
OTU_738	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1					0	0	Bacteria_Proteobacteria	100.000	100
OTU_32	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1	Escherichia-shigella_1			Mock_Escherichia_coli_16S_8	100.000	100	Bacteria_Proteobacteria	100.000	100
OTU_27	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingobium_1			Sphingobium_sp.|GLBRC1110	99.545	88	Bacteria_Proteobacteria	100.000	100
OTU_135	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Caulobacterales_1	Caulobacteraceae_1	Caulobacter_1			Caulobacter_rhizosphaerae|GLBRC1039	100.000	77	Bacteria_Proteobacteria	100.000	100
OTU_9325	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1				Mock_Salmonella_enterica_16S_6	97.200	100	Bacteria_Proteobacteria	98.000	100
OTU_25	Bacteria_1	Firmicutes_1	Bacilli_1	Lactobacillales_1	Lactobacillaceae_1	Lactobacillus_1			Mock_Lactobacillus_fermentum_16S_2	100.000	100	Bacteria_Firmicutes	100.000	100
OTU_90	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Nitrosomonadaceae_1	Is-44_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_221	Bacteria_1	Verrucomicrobiota_1	Verrucomicrobiae_1	Verrucomicrobiales_1	Verrucomicrobiaceae_1	Verrucomicrobium_1				0	0	Bacteria_Verrucomicrobiota	100.000	100
OTU_2146	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micromonosporales_1	Micromonosporaceae_1					0	0		0	0
OTU_191	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0	Chloroplast	100.000	100
OTU_1424	Bacteria_1	Actinobacteriota_1	Acidimicrobiia_1	Microtrichales_1	Uncultured_212					0	0	Bacteria_Actinobacteriota	100.000	100
OTU_1599	Bacteria_1	Planctomycetota_1	Planctomycetes_1	Pirellulales_1	Pirellulaceae_1	Uncultured_12				0	0		0	0
OTU_10	Bacteria_1	Chloroflexi_1	Chloroflexia_1	Kallotenuales_1	Akiw781_1					0	0	Bacteria_Chloroflexi	100.000	100
OTU_80	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Chitinophagales_1	Chitinophagaceae_1	Flavitalea_1				0	0	Bacteria_Bacteroidota	100.000	100
OTU_1840	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Rhodanobacteraceae_1					0	0	Bacteria_Proteobacteria	98.000	100
OTU_8370	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Xanthomonadales_1	Xanthomonadaceae_1	Pseudoxanthomonas_1			Pseudoxanthomonas_indica|GLBRC997	97.585	83	Bacteria_Proteobacteria	98.800	100
OTU_1578	Bacteria_1	Actinobacteriota_1	Thermoleophilia_1	Solirubrobacterales_1	67-14_1					0	0	Bacteria_Actinobacteriota	100.000	100
OTU_250	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_13381	Bacteria_1	Acidobacteriota_1	Acidobacteriae_1	Subgroup_2_1						0	0	Bacteria_Acidobacteriota	98.795	99
OTU_6	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Devosiaceae_1	Devosia_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_68	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1					0	0	Mitochondria	97.976	99
OTU_28	Bacteria_1	Firmicutes_1	Bacilli_1	Lactobacillales_1	Listeriaceae_1	Listeria_1	Listeria_monocytogenes_1		Mock_Listeria_monocytogenes_16S_6	100.000	100	Bacteria_Firmicutes	100.000	100
OTU_7	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingobium_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_1414	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Pseudonocardiales_1	Pseudonocardiaceae_1	Saccharothrix_1				0	0	Bacteria_Actinobacteriota	100.000	100
OTU_398	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Polaromonas_1				0	0	Bacteria_Proteobacteria	100.000	100
OTU_14492	Bacteria_1	Acidobacteriota_1	Vicinamibacteria_1	Vicinamibacterales_1	uncultured_60					0	0	Bacteria_Acidobacteriota	99.600	100
OTU_301	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Pseudonocardiales_1	Pseudonocardiaceae_1	Pseudonocardia_1				0	0	Bacteria_Actinobacteriota	100.000	100
