OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id	Isolate_query_cover	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
FOTU_78	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae				0	0	Fungi	99.500	100
FOTU_1368	Fungi								0	0		0	0
FOTU_144	Fungi	Basidiomycota	Agaricomycetes	Auriculariales					0	0	Fungi	89.655	73
FOTU_188	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena			0	0	Fungi	94.500	100
FOTU_146	Fungi	Basidiomycota	Agaricomycetes	Sebacinales					0	0	Fungi	100.000	93
FOTU_172	Fungi	Ascomycota							0	0		0	0
FOTU_12	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Cercophora			0	0	Fungi	99.500	100
FOTU_164	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium	Subulicystidium sp 		0	0	Fungi	93.000	98
FOTU_1709	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe			0	0	Fungi	95.455	88
FOTU_503	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus biglobosus		0	0	Fungi	98.701	77
FOTU_171	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales					0	0	Fungi	100.000	92
FOTU_19	Fungi	Glomeromycota	Glomeromycetes	Diversisporales	Acaulosporaceae				0	0		0	0
FOTU_281	Fungi	Ascomycota	Sordariomycetes	Hypocreales					0	0	Fungi	94.444	98
FOTU_111	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ophiosphaerella	Ophiosphaerella korrae		0	0	Fungi	93.434	99
FOTU_329	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	Coniochaeta sp 		0	0	Fungi	96.040	100
FOTU_1001	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Sporidesmiella	Sporidesmiella sp 		0	0	Fungi	100.000	77
