OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Phylum,Class,Taxon
OTU_89,3,3,7,12,8,4,0,0,0,11,19,2,15,11,2,0,7,9,0,2,0,0,9,3,1,0,10,Firmicutes,,Tumebacillus
OTU_90,3,4,1,5,15,8,0,0,0,4,18,2,11,12,2,1,10,2,0,4,5,0,0,1,1,0,0,Proteobacteria,Gammaproteobacteria,Reinekea
OTU_91,5,1,3,2,6,1,0,0,4,7,2,8,1,5,1,3,4,6,9,4,4,19,3,3,8,3,7,Proteobacteria,Betaproteobacteria,Sphaerotilus
OTU_92,9,11,12,0,1,0,1,0,5,7,2,4,6,4,5,0,22,13,0,3,6,2,9,2,0,1,26,Proteobacteria,Betaproteobacteria,Massilia
OTU_93,2,7,7,2,0,7,1,2,6,12,6,6,7,5,10,26,6,6,19,11,14,7,2,13,4,18,0,Proteobacteria,Gammaproteobacteria,Steroidobacter
OTU_94,0,0,2,0,0,0,0,0,0,2,4,4,0,3,0,0,4,1,2,0,0,2,1,1,3,6,0,Chloroflexi,,Ktedonobacter
OTU_95,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,7,6,0,1,0,0,3,2,Firmicutes,,Enterococcus
OTU_96,11,2,2,0,0,2,0,6,3,0,0,4,3,0,0,2,0,0,2,7,2,2,2,6,3,4,2,Actinobacteria,Actinobacteria,Actinoallomurus
OTU_97,4,5,5,9,3,2,7,6,10,11,17,2,3,7,9,6,5,4,2,0,9,10,4,21,1,7,4,Acidobacteria,Holophaga,Gp3
OTU_98,6,5,2,13,12,2,2,6,4,2,15,2,14,9,1,3,5,5,2,0,6,0,2,0,0,2,0,Actinobacteria,,Gp1
OTU_99,4,4,2,16,3,18,6,20,3,6,5,6,8,8,0,7,2,5,0,1,11,0,6,2,0,1,0,Gemmatimonadetes,,Gemmatimonas
OTU_100,7,4,5,0,5,2,2,0,0,2,0,2,1,4,0,1,0,0,7,7,3,4,6,1,2,4,6,Proteobacteria,Alphaproteobacteria,Rhodopila
OTU_101,2,4,7,10,3,0,0,3,0,0,1,2,1,0,4,0,6,1,14,3,7,18,10,18,5,0,11,Bacteroidetes,Sphingobacteria,Flavihumibacter
OTU_102,7,14,3,10,11,3,8,6,2,7,6,9,4,4,9,9,7,13,2,4,2,7,12,10,6,5,8,Actinobacteria,,Rhodococcus
OTU_103,6,12,6,2,0,0,11,1,6,2,3,6,2,5,2,12,5,7,9,5,3,4,2,2,2,5,8,Proteobacteria,Alphaproteobacteria,Azospirillum
OTU_104,11,19,6,6,1,6,5,10,1,4,3,6,9,9,0,8,4,9,2,1,1,1,1,4,3,1,3,Acidobacteria,,Gp1
OTU_105,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Serratia proteamaculans
OTU_106,1,0,0,0,4,0,0,0,0,0,0,4,1,0,1,1,0,1,14,0,1,0,0,0,2,1,0,Proteobacteria,Gammaproteobacteria,Luteibacter
OTU_107,3,0,0,0,1,0,1,0,0,2,13,2,13,12,6,11,3,4,5,13,7,3,7,9,5,2,5,,,Gp2
OTU_108,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,Bacteroidetes,Sphingobacteria,Mucilaginibacter
OTU_109,0,2,2,6,3,2,7,7,12,0,4,0,0,1,0,3,3,0,0,0,3,0,1,5,0,0,1,Acidobacteria,,Gp4
OTU_110,13,20,10,10,5,4,18,6,6,1,0,3,1,0,4,0,1,2,7,14,1,11,9,5,8,2,13,Actinobacteria,,Rubrobacter
OTU_111,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,8,5,0,Chloroflexi,,Ktedonobacter
OTU_112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Proteobacteria,Gammaproteobacteria,Legionella
OTU_113,4,11,2,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,3,0,2,Actinobacteria,,Sporichthya
OTU_114,0,3,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,Proteobacteria,Betaproteobacteria,Burkholderia
OTU_115,2,5,5,5,5,9,10,10,13,2,1,5,5,3,4,1,6,3,8,2,5,5,4,2,5,1,4,Proteobacteria,Alphaproteobacteria,Mesorhizobium
OTU_116,3,0,0,0,0,1,0,0,4,2,0,1,1,3,0,2,0,0,2,7,0,1,2,1,5,3,3,Actinobacteria,Actinobacteria,Actinomadura
OTU_117,7,6,7,20,19,5,2,1,1,3,5,1,4,5,3,2,8,3,2,10,8,1,10,5,4,1,6,Proteobacteria,Betaproteobacteria,Naxibacter
OTU_118,4,1,0,7,17,6,0,9,12,0,9,2,0,3,2,0,0,1,0,6,1,1,0,2,0,9,5,Acidobacteria,,Gp1
OTU_119,1,1,3,3,2,2,0,1,0,4,2,3,1,0,2,2,3,0,0,4,1,1,0,2,3,2,3,Acidobacteria,Holophaga,Gp1
