OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1359	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Botryobasidiaceae	Botryobasidium	Botryobasidium laeve
OTU_1360	Fungi	Ascomycota	Orbiliomycetes				
OTU_1361	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactifluus	Lactifluus glaucescens
OTU_1362	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae		
OTU_1363	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Gliophorus	Gliophorus sp 
OTU_1364	Fungi	Ascomycota	Leotiomycetes				
OTU_1365	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_1366	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Pseudophialophora	
OTU_1367	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
OTU_1368	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Westerdykella	Westerdykella reniformis
OTU_1369	Fungi	Basidiomycota	Tremellomycetes				
OTU_1370	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1371	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae		
OTU_1372	Fungi	Basidiomycota	Pucciniomycetes				
OTU_1373	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae		
OTU_1374	Fungi	Basidiomycota	Agaricomycetes	Trechisporales			
OTU_1375	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Incertae_sedis	Acremonium	Acremonium lichenicola
OTU_1376	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_1377	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Alatospora	Alatospora sp 
OTU_1378	Viridiplantae	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae		
OTU_1379	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	
OTU_1380	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Mollisia	Mollisia sp 
OTU_1381	Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Petrophila	Petrophila incerta
OTU_1382	Fungi	Basidiomycota	Agaricomycetes	Sebacinales			
OTU_1383	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Incertae_sedis	Sistotrema	Sistotrema sp 
OTU_1384	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena amicta
OTU_1385	Fungi	Basidiomycota	Agaricomycetes	Sebacinales			
OTU_1386	Fungi	Basidiomycota	Agaricomycetes				
OTU_1387	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
OTU_1388	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora stevensonii
OTU_1389	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	Oidiodendron chlamydosporicum
OTU_1390	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae		
OTU_1391	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	
OTU_1392	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	
OTU_1393	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Saitoella	Saitoella coloradoensis
OTU_1394	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales			
OTU_1395	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1396	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1397	Fungi	Ascomycota	Sordariomycetes				
OTU_1398	Fungi						
OTU_1399	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Capnobotryella	Capnobotryella sp 
OTU_1400	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_1401	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Thelebolus	
OTU_1402	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Rasamsonia	Rasamsonia sp 
OTU_1403	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	
OTU_1404	Fungi	Basidiomycota	Cystobasidiomycetes				
OTU_1405	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales			
OTU_1406	Fungi	Chytridiomycota					
OTU_1407	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
OTU_1408	Fungi						
OTU_1409	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae		
OTU_1410	Fungi	Basidiomycota	Agaricomycetes	Russulales			
OTU_1411	Fungi	Basidiomycota	Agaricomycetes				
OTU_1412	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1413	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1414	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora sp 
OTU_1415	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Piloderma	Piloderma sp 
OTU_1416	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	
OTU_1417							
OTU_1418	Viridiplantae	Chlorophyta	Chloromonas				
OTU_1419	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala sideris
OTU_1420	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales			
OTU_1421	Fungi	Ascomycota	Eurotiomycetes	Onygenales			
OTU_1422	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1423	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_1424	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Plenodomus	Plenodomus biglobosus
OTU_1425	Fungi	Basidiomycota	Agaricomycetes				
OTU_1426	Viridiplantae	Chlorophyta	Ulvophyceae	Trentepohliales	Trentepohliaceae	Cephaleuros	Cephaleuros karstenii
OTU_1427	Fungi	Ascomycota					
OTU_1428	Fungi	Mucoromycota					
OTU_1429	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
OTU_1430	Fungi	Ascomycota	Dothideomycetes				
OTU_1431	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae		
OTU_1432	Fungi	Basidiomycota	Tremellomycetes	Tremellales			
OTU_1433	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella exigua
OTU_1434	Fungi	Basidiomycota	Tremellomycetes	Tremellales			
OTU_1435	Fungi	Ascomycota					
OTU_1436							
OTU_1437	Fungi	Ascomycota	Dothideomycetes	Venturiales			
OTU_1438	Fungi	Ascomycota					
OTU_1439	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	
OTU_1440	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae		
OTU_1441	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella sp 
OTU_1442	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Cunninghamella	Cunninghamella elegans
OTU_1443	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
OTU_1444	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	
OTU_1445	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	
OTU_1446	Fungi	Basidiomycota	Agaricomycetes				
OTU_1447	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1448	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe sp 
OTU_1449	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis	Candida	Candida membranifaciens
OTU_1450	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
OTU_1451	Fungi	Ascomycota					
OTU_1452	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_1453	Fungi	Ascomycota	Lecanoromycetes	Agyriales			
OTU_1454	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1455	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1456	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	
OTU_1457	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1458	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1459	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_1460	Fungi	Ascomycota					
OTU_1461	Fungi	Basidiomycota	Agaricomycetes				
OTU_1462	Fungi						
