OTU_ID,taxonomy,Guild,Confidence Ranking
OTU_1757,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_176,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_1766,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella",Ectomycorrhizal,Highly Probable
OTU_1795,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum",Ectomycorrhizal,Possible
OTU_180,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,Hymenogaster_huthii_SH1563820.08FU",Ectomycorrhizal,Possible
OTU_19,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora",Ectomycorrhizal,Highly Probable
OTU_197,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_200,"Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum,Cenococcum_geophilum_SH1639591.08FU",Ectomycorrhizal,Highly Probable
OTU_201,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Pseudotomentella,Pseudotomentella_sciastra_SH1638685.08FU",Ectomycorrhizal,Possible
OTU_207,"Fungi,Ascomycota,Dothideomycetes,Mytilinidales,Gloniaceae,Cenococcum",Ectomycorrhizal,Highly Probable
OTU_21,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe",Ectomycorrhizal,Probable
OTU_211,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_amblyospora_SH1527059.08FU",Ectomycorrhizal,Probable
OTU_212,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_badioflavidus_SH1710025.08FU",Ectomycorrhizal,Highly Probable
OTU_214,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,Hymenogaster_huthii_SH1563820.08FU",Ectomycorrhizal,Possible
OTU_23,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,Lyophyllum_fumosum_SH1647745.08FU",Ectomycorrhizal,Possible
OTU_24,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma_equestre_SH1158797.08FU",Ectomycorrhizal,Highly Probable
OTU_243,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius",Ectomycorrhizal,Highly Probable
OTU_250,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_croceus_SH1661724.08FU",Ectomycorrhizal,Highly Probable
OTU_254,"Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Piloderma",Ectomycorrhizal,Highly Probable
