OTU_ID,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,Taxon
OTU_74,8,4,24,324,950,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Onygenales
OTU_107,0,6,0,12,4,0,0,0,0,242,772,16,0,26,54,24,54,4,0,8,0,4,0,54,0,0,0,Tomentella
OTU_124,64,0,4,260,0,0,0,0,0,0,0,0,10,0,0,50,0,22,58,30,0,0,22,608,4,66,74,Inocybe_krieglsteineri
OTU_35,0,0,0,0,0,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,Russula_versicolor
OTU_608,34,92,148,372,74,70,124,4,38,0,142,102,8,4,0,10,10,6,0,0,0,0,0,0,4,0,4,Geminibasidium
OTU_81,0,0,0,0,0,552,194,0,8,0,104,0,4,0,0,28,0,0,46,138,12,8,0,60,40,52,0,Mortierella
OTU_243,176,278,24,208,38,32,8,34,50,32,42,22,14,10,42,4,34,6,90,48,0,0,0,18,30,0,0,Cortinarius
OTU_189,24,8,28,8,16,0,0,0,4,0,0,0,22,0,40,0,12,4,12,6,8,280,68,442,184,20,20,Cladophialophora_minutissima
OTU_116,26,4,10,0,0,0,54,4,0,10,0,0,14,0,0,0,4,4,82,124,198,128,388,80,8,14,24,Cladophialophora
OTU_47,0,0,0,0,0,1152,0,12,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,Tomentella_coerulea
OTU_95,0,0,0,0,0,0,0,0,0,0,1030,12,0,0,118,0,0,4,0,0,0,0,0,0,0,0,0,Archaeorhizomyces
OTU_187,4,20,10,54,16,84,18,4,14,20,0,40,66,4,8,0,0,14,180,28,140,60,144,162,6,4,38,Cladophialophora_chaetospira
OTU_160,52,36,50,448,208,128,54,6,0,0,6,90,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Geoglossaceae
OTU_55,0,24,0,842,240,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuber_sphaerospermum
OTU_152,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,126,246,588,130,0,0,4,Agaricales
