#OTU ID	sample5	sample3	sample4	sample8	sample2	sample10	sample1	sample6	sample9	sample7
OTU_1204	0	156	0	0	1	0	0	0	0	0
OTU_231	0	105	88	0	0	0	0	0	1	0
OTU_994	0	24	74	0	0	1	0	0	0	0
OTU_1242	0	91	2	0	0	0	0	0	0	0
OTU_426	0	8	10	0	0	0	0	0	0	0
OTU_1199	0	104	14	0	0	0	0	0	0	0
OTU_1080	0	321	11	0	1	0	0	0	0	0
OTU_369	0	114	3	0	3	0	0	0	0	0
OTU_416	0	34	0	0	7	0	0	0	0	0
OTU_1317	0	6	2	0	0	0	0	0	0	0
OTU_751	0	258	17	0	0	0	0	0	0	0
OTU_473	0	194	1353	0	3	1	0	0	1	0
OTU_558	0	566	94	0	1	1	0	0	0	0
OTU_148	0	420	370	0	0	0	0	0	1	0
OTU_22	0	7	2	0	0	5	5913	1	0	0
OTU_1186	0	16	82	0	0	0	0	0	0	0
OTU_1151	0	123	0	0	0	0	0	0	0	0
OTU_237	0	246	44	0	0	0	0	0	0	0
OTU_1167	0	147	3	0	0	0	0	0	0	4
OTU_66	0	3	0	0	0	2	1638	1	0	0
OTU_270	0	43	43	0	1	0	0	0	0	0
OTU_899	0	196	0	0	1	0	0	0	0	0
OTU_1361	0	86	6	0	0	0	0	0	0	0
OTU_182	0	166	118	0	0	1	0	0	0	0
OTU_682	0	236	37	0	1	3	0	0	0	2
OTU_209	0	18	158	0	0	0	0	0	0	0
OTU_1240	0	89	10	0	0	1	0	0	0	0
OTU_1201	0	40	0	0	0	0	0	0	0	0
OTU_606	0	16	7	0	0	0	0	0	0	0
OTU_184	0	126	46	0	62	0	170	22	0	6
OTU_1205	0	81	31	0	0	0	0	0	0	0
OTU_1228	0	31	4	0	0	0	0	0	0	0
OTU_254	0	45	52	0	0	1	0	0	0	0
OTU_603	0	3	791	0	0	2	0	0	0	0
OTU_1058	0	57	45	0	0	0	0	0	0	0
OTU_298	0	42	15	0	0	1	0	0	0	0
OTU_695	0	1	0	0	0	0	5	0	0	0
OTU_471	0	6	18	0	0	0	0	0	0	0
OTU_1364	0	3	2	0	0	1	0	0	0	0
OTU_1219	0	23	73	0	0	0	0	0	0	0
OTU_486	0	19	21	0	5	1	2	0	0	0
OTU_1222	0	115	0	0	1	1	0	0	0	0
OTU_1266	0	38	0	0	0	1	0	0	0	0
OTU_480	0	23	45	0	8	0	11	0	0	4
OTU_285	0	36	22	0	0	0	3	0	0	0
OTU_1135	0	30	15	0	0	1	0	0	0	0
OTU_616	0	16	0	0	0	0	0	0	0	0
OTU_448	0	27	9	0	0	0	0	0	0	0
OTU_1362	0	36	1	0	0	0	0	0	0	0
OTU_258	0	55	59	0	1	0	0	0	0	0
OTU_860	0	5	0	0	0	0	0	0	0	0
OTU_1370	0	54	6	0	0	0	0	0	0	0
OTU_1092	0	14	99	0	0	0	2	0	0	2
OTU_142	0	89	655	0	0	2	0	0	0	0
OTU_901	0	3	24	2	4	0	6	11	0	0
OTU_202	0	29	146	0	0	0	0	0	0	0
